pitcher_id,season,pitcher_name,pitch_count,composure_plus,adversity_composure_plus,momentum_composure_plus,composure_score,adversity_score,momentum_score,walk_after_barrel,walk_after_hard_hit,walk_after_high_xba,first_ball_after_barrel,first_ball_after_hard_hit,first_ball_after_high_xba,walk_after_walk,hard_hit_after_walk,walk_after_soft_hit,walk_after_low_xba,first_ball_after_soft_hit,first_ball_after_low_xba,hard_hit_after_soft,ball_after_foul
543135,2021,"eovaldi, nathan",2935,172.4,181.1,144.4,1.4913939536508725,1.7529448323597927,1.2298430749419522,0.05517791433284391,0.03975167236151884,0.023988964843608053,0.3569162724092302,0.34672333137129324,0.32048524454819377,0.0767736619972524,0.14693271012130377,0.046061791561789675,0.052584301228307546,0.30425349128640783,0.3386533482693342,0.15964295878531354,0.31459534727340066
542881,2021,"anderson, tyler",2607,160.5,144.3,155.5,1.2899540577248185,0.9997766563226809,1.5801314591269564,0.08436136484916973,0.07419784130345274,0.07917763209972466,0.32123238220799194,0.3304266415701037,0.301859546655203,0.06548762631717914,0.15085091572453854,0.032820006733870595,0.039915136747468806,0.3059075363193482,0.3026932490613539,0.15547878244231847,0.3076320913254064
628711,2021,"urías, julio",2798,157.2,165.6,133.8,1.1976727720004452,1.4412740507264092,0.9540714932744812,0.08966108966108965,0.07118433727620652,0.055527262955102505,0.29304629304629304,0.30804456054176177,0.2638504525537413,0.04770209724132238,0.11358315462610231,0.0661212571547375,0.06487987927670284,0.3071696144821646,0.30192400454950935,0.11608906348782051,0.3566335122298418
501381,2021,"pineda, michael",1711,153.8,155.3,136.9,1.3179772493810735,1.4208710454986184,1.2150834532635288,0.05596617025188453,0.04774635105497996,0.058918240845490445,0.3477293620150763,0.28986740275782097,0.3104978084348858,0.09852619956314058,0.10523031132233984,0.052828741842374564,0.047133860132221685,0.29823630585458977,0.32561925603979125,0.19094500201156175,0.31626470744289464
664353,2021,"urquidy, josé",1631,153.7,150.4,140.6,1.3391357792558571,1.3229558904031753,1.355315668108539,0.07339749130793906,0.053627256110350886,0.0539461278373514,0.3931500797172439,0.30737204137825413,0.31769068778273624,0.0641241307178432,0.16907899474328508,0.030009146477647256,0.048492192938213136,0.360677115307125,0.36865843782632907,0.13388937182103772,0.3047555998358739
621111,2021,"buehler, walker",3160,153.3,155.0,136.4,1.08557888268358,1.1747500009297216,0.9964077644374382,0.07685236256664828,0.07318143251847394,0.053974052802512225,0.3291046148189005,0.2985029889458557,0.31241407625853174,0.08327970498724668,0.11909282820358305,0.04419442163360902,0.07043080312480196,0.3369639353333553,0.34822771947988324,0.1306484244201432,0.3795926674540192
543101,2021,"desclafani, anthony",2562,153.2,173.3,121.8,1.1439105986156557,1.6459873023597136,0.6418338948715978,0.05154778838989365,0.059482802381487634,0.05592963442579166,0.3465928334349387,0.3601468245622941,0.3092406732244205,0.048291012022079444,0.1767138108560542,0.07000634755552569,0.07166827069395641,0.37052455543172064,0.34247014216246396,0.14209808864082948,0.40881231163345894
642232,2021,"yarbrough, ryan",2496,151.8,157.7,132.0,1.1219921882469408,1.3106380115053442,0.9333463649885372,0.07586707586707586,0.06457553905627894,0.05588647147922595,0.31206481206481207,0.35782719652180617,0.3697129032369874,0.05358317772312925,0.14128518738822451,0.055244646410644804,0.06631259652891928,0.36322397457601946,0.33489002864255163,0.10801580088508718,0.3607499388606517
645261,2021,"alcántara, sandy",3098,149.0,138.7,142.8,1.0040232111974334,0.8382327655700204,1.1698136568248467,0.08106345092646462,0.07927805717310746,0.0719348291997265,0.27864459371308686,0.33488397741309334,0.3333906906373828,0.09380602077672037,0.16119809136147778,0.03814355672147707,0.0467629332968879,0.4017575482424453,0.3788834722992581,0.16884826935615496,0.33271197965542343
621244,2021,"berríos, josé",3043,147.5,177.6,109.8,0.9783086383556848,1.6638918867489723,0.2927253899623974,0.046638475209903774,0.047435118195661694,0.06351823235790359,0.277869706441135,0.2998854097907095,0.3442824372873859,0.0799148684221054,0.14458402706404433,0.08665547217866601,0.07840410159176067,0.37528862703095295,0.37255538583609643,0.19074201144985461,0.34570403255480886
640455,2021,"manaea, sean",2980,147.5,157.7,125.6,0.984434049157315,1.2490141033483004,0.7198539949663296,0.07586707586707586,0.07038848884154936,0.04677751242884393,0.3248853248853249,0.30470744810900563,0.31318310851496994,0.07854059061123221,0.16265703044704988,0.06756976001663251,0.07166827069395641,0.34878746027503044,0.34628693605559374,0.1250246888829487,0.3710446823358268
663978,2021,"paddack, chris",1870,147.0,160.6,122.6,1.1196166177162508,1.5055016121024394,0.7337316233300619,0.07339749130793906,0.03903740956414328,0.03774631640607399,0.2886724677769454,0.31317863655079115,0.3574017032397603,0.08051757334079401,0.1854724373662359,0.05772170849712883,0.06691526660123055,0.3881863868136006,0.4018589616282134,0.14410127306162537,0.32073058971260693
605540,2021,"woodruff, brandon",2810,145.3,151.8,126.9,0.9534216884748796,1.1418321382395307,0.7650112387102287,0.060271260271260264,0.05734693393803876,0.06892403936708687,0.3283239283239283,0.3476226595977234,0.35230647450333363,0.09093760889411995,0.15303239861310794,0.06888912373330791,0.06601291599086434,0.3479348541581622,0.34613881693123666,0.1395532568431246,0.3383006269294385
608379,2021,"wacha, michael",1974,144.3,153.1,124.4,1.0369602995668656,1.2998190514675676,0.7741015476661636,0.05154778838989365,0.06633211744998078,0.06941635393399463,0.3465928334349387,0.3601468245622941,0.3119658064640717,0.06637259424038426,0.23397052269378904,0.06338965181770648,0.07560406462613359,0.3295395226187401,0.3001608121098554,0.17269028936166758,0.3440738503091904
605400,2021,"nola, aaron",2975,143.8,129.7,142.1,0.9100334431869443,0.6560643856177962,1.1640025007560926,0.0845375988233131,0.07686682840069924,0.062273496791137486,0.3905865048722192,0.3998664488208269,0.35482294932121455,0.08532804905911648,0.13967677381901716,0.06039755085285587,0.04145033431467914,0.33411169633522275,0.33356606633294444,0.156446649280848,0.345177425157385
