season,pitcher_name,pitch_count,composure_plus,adversity_composure_plus,momentum_composure_plus,composure_score,adversity_score,momentum_score,walk_after_barrel,walk_after_hard_hit,walk_after_high_xba,first_ball_after_barrel,first_ball_after_hard_hit,first_ball_after_high_xba,walk_after_walk,hard_hit_after_walk,walk_after_soft_hit,walk_after_low_xba,first_ball_after_soft_hit,first_ball_after_low_xba,hard_hit_after_soft,ball_after_foul
2024,"martínez, nick",2126,190.0,184.9,168.8,1.555331212046962,1.5227882836149642,1.58787414047896,0.06001116581231285,0.04008639977644813,0.05112338704377163,0.3613764401360199,0.3187785458177486,0.30498017350917933,0.05687879372089898,0.17998960104223263,0.030872255050115167,0.04321132052384774,0.3130720513768221,0.3250296004923219,0.11791373671873903,0.3745182263525682
2024,"kirby, george",2969,186.9,181.3,167.1,1.3660660605829351,1.3255596647165877,1.4065724564492823,0.05615278451266366,0.04106769292288452,0.05658141418279979,0.32583087769032787,0.327182236964815,0.32475140535877456,0.08091831890458892,0.17883108500957473,0.04177672235415017,0.03244438019398535,0.374021302892694,0.3702880056852649,0.13833270841144857,0.33173752706945864
2024,"gomber, austin",2622,178.4,196.6,142.5,1.2734981087430526,1.6265771336607644,0.9204190838253408,0.04159864902898958,0.03933592273938939,0.05855088062332987,0.3186813960033774,0.3314576848036481,0.3867328969888034,0.058761076979700455,0.17101724186744433,0.04716726717404052,0.053355652861975154,0.4169057720831491,0.40874685934598737,0.16693477831400105,0.3312197042205687
2024,"nola, aaron",3193,178.3,178.9,155.9,1.2080391993819466,1.264066215247974,1.1520121835159192,0.06988495203149486,0.04212750435315251,0.04599874110733396,0.34622176355922485,0.30336758501551997,0.2685211110315546,0.0932974348306156,0.11238418332239844,0.05034164343164269,0.057614290166287246,0.32964707293208284,0.314284157083384,0.12640125591777662,0.3754960917801311
2024,"taillon, jameson",2483,170.6,168.6,152.4,1.1641817626138546,1.1740341008159665,1.1543294244117428,0.0613247515072511,0.050198421164924255,0.04362529027735179,0.38215740589864755,0.38014650451603726,0.4135830813944997,0.06193735141103562,0.16674790359000888,0.04710976784467598,0.04728058680885033,0.3972392339846408,0.32391366559727686,0.17605981070548,0.336848394543273
2024,"mikolas, miles",2705,169.3,150.8,164.3,1.1150325034894348,0.8481348996663443,1.3819301073125252,0.08122781847013516,0.061577562425372157,0.07125798482470845,0.31760930302801477,0.2749823139029567,0.2903547049949071,0.08210829418259757,0.2255786009655979,0.051300531877959694,0.03831230760992736,0.3025927314641225,0.2898814580472055,0.20976127984002002,0.36510009560430323
2024,"webb, logan",3209,168.4,160.4,155.5,1.0542485932670602,0.9663132914372592,1.1421838950968612,0.08325851393188854,0.06473570897004133,0.06892194253627895,0.3755495356037152,0.32067930946127077,0.35185418796249973,0.0407200455047345,0.1970380098370529,0.05154598896828486,0.053083361745419486,0.33274867754768295,0.30793498219281057,0.18205678835600098,0.3790451673733779
2024,"woo, bryan",1717,168.2,133.0,176.5,1.2681752141329534,0.6364861225418735,1.8998643057240332,0.08473965662820152,0.0836251291641043,0.0837626817804193,0.3644356881508584,0.2943330948765254,0.30428884518798976,0.06761064159276671,0.1384782050124652,0.02947743511227763,0.03221789732566471,0.26206620005832604,0.2640794748155464,0.1488270997375328,0.3313823751891074
2024,"burnes, corbin",2997,166.0,171.6,143.2,1.0342178646604514,1.1645618639469022,0.9038738653740006,0.0744826462440932,0.04295896825485947,0.051318323412263736,0.39531530063548964,0.35540773471977366,0.39481266808962556,0.051498471959737474,0.1498802793894456,0.062321772372721886,0.06132600796859343,0.36445463170798975,0.308681992520473,0.13597225686155745,0.36942338277727543
2024,"pivetta, nick",2392,164.2,171.9,140.4,1.070855227778065,1.2429815727241866,0.8987288828319432,0.04880908152734778,0.05223810539790911,0.07456088704377163,0.3072528379772962,0.35217580541924476,0.3518551735091793,0.07545086492454912,0.13972087656298185,0.060924386766469,0.06555123065899804,0.3093366222740676,0.311698522434594,0.18784631087780693,0.3746138455497684
2024,"imanaga, shota",2594,161.5,146.9,155.7,1.0015093631003418,0.7926247252214086,1.210394000979275,0.08325851393188854,0.05340257570736623,0.04391807746042127,0.46304953560371515,0.3689501821092595,0.34924471281325475,0.06547662863452336,0.19056206950943796,0.04847023035564385,0.05551037006913379,0.2958258210357223,0.30998755530550653,0.18812082191383536,0.3273172411929976
2024,"skubal, tarik",2868,159.7,138.7,159.5,0.9470591183001011,0.6357589413075325,1.2583592952926697,0.09250945992432061,0.0675869728704868,0.05987137731430769,0.3339439284485724,0.3263969906198978,0.2939481127712298,0.09136583137851369,0.14866680561036935,0.059761988296302214,0.046504974064780984,0.31748463760134893,0.2942952162500583,0.1119282678497675,0.29595900012491494
2024,"eflin, zach",2447,157.2,161.3,138.1,0.9474329461610536,1.0529192219378303,0.8419466703842768,0.05899596347533017,0.052979895495271045,0.046083053109878654,0.36764509934553435,0.35417376197146333,0.310122973304049,0.09974793946085811,0.14150522523728268,0.06784784085897308,0.04830090680136698,0.36721415570180166,0.3630059288114552,0.20714221067194188,0.3384054195763326
