pitcher_id,season,pitcher_name,pitch_count,stamina_plus,outing_stamina_plus,inning_stamina_plus,stamina_score,outing_score,inning_score,velo_slope_outing,spin_slope_outing,velo_slope_inning,spin_slope_inning
663362,2024,"waldron, matt",2451,194.7,128.3,240.2,2.4238373669707807,0.8056049686692349,4.042069765272326,-0.00015757129142469613,0.0010118000652561956,0.0008248438174353653,0.0043391267272096965
650556,2024,"abreu, bryan",1302,182.2,184.0,160.8,2.6419199556539477,3.0689165152737354,2.2149233960341594,0.00039231537353355127,0.0011650333306442485,0.0008655286545048496,0.0018871467282895592
663855,2024,"hicks, jordan",1960,181.0,144.5,199.1,2.22316359237091,1.3741622757180765,3.0721649090237433,0.0002136543496471436,0.0004741638170246224,0.0012209462910968325,0.001989965817366124
519242,2024,"sale, chris",2818,162.3,103.6,207.6,1.5323013277168056,0.07389237877364549,2.9907102766599656,7.240734436126367e-05,-4.558025310773142e-05,0.001404883932411554,0.0013712151069101193
592332,2024,"gausman, kevin",2959,161.7,97.8,212.5,1.499131879769488,-0.08905274641384958,3.0873165059528254,4.393595758021448e-05,-8.409051945567653e-05,0.0012013803322720455,0.0020640854346966947
572955,2024,"johnson, pierce",921,160.7,174.1,132.4,2.298901020263318,3.1923995064417907,1.4054025340848455,0.000413639506010825,0.0011948401249443472,0.0007453948549376802,0.0011872541950786824
680767,2024,"vodnik, victor",1345,158.3,174.7,127.5,1.8452921265164628,2.6876223840555498,1.0029618689773758,0.0003714075241492195,0.0009619236139249347,0.0005181892552423413,0.0013078004213012391
664875,2024,"lawrence, justin",1082,154.8,156.8,139.5,1.9128062760600981,2.2490552039856793,1.576557348134517,0.0002866748756763475,0.0008782984297169897,0.0006838363214903286,0.0015784716268095334
625643,2024,"lópez, reynaldo",2117,154.5,118.9,178.0,1.458082114368417,0.5534615356157551,2.362702693121079,0.00011381519948820365,0.00017252883565743217,0.0013067271651641948,0.0008421281404965487
663878,2024,"pearson, nate",1059,151.8,155.4,135.8,1.828605068526067,2.2119354086163505,1.4452747284357839,0.00037888907622633464,0.0006255689894791453,0.0007497768367847527,0.0012260207523962928
547973,2024,"chapman, aroldis",1130,148.6,163.4,121.8,1.6623186479066976,2.4601763365928617,0.8644609592205333,0.0005121157728460221,0.00046215230889281504,0.0008374221475467769,0.0002375975821928373
605280,2024,"holmes, clay",1087,145.7,147.7,132.6,1.5903630943901952,1.878960438832431,1.3017657499479596,0.00025452902337845713,0.0007104492388622017,0.0006339577241488118,0.0013663458539128316
642232,2024,"yarbrough, ryan",1527,145.3,147.1,132.6,1.36051739911266,1.597383954556063,1.123650843669257,0.0002959689169153828,0.00041986805799980526,0.0007731212062136634,0.0007491434731705112
596001,2024,"junis, jakob",944,142.3,134.6,140.1,1.5810104760435917,1.4502495637149773,1.7117713883722059,0.0002887801298529126,0.0003393187215920353,0.0009244378005189074,0.0010784877169068825
640451,2024,"harvey, hunter",911,141.6,154.5,118.4,1.5829266018229098,2.348784091859003,0.817069111786817,0.0002177312686431124,0.0011153465834093787,0.0005274241510436505,0.0010440838245706857
656222,2024,"beeks, jalen",1195,141.2,138.4,134.2,1.371959566931778,1.4370434811817636,1.3068756526817924,6.279787166807643e-05,0.0008890532846192264,0.00040529822899170034,0.0020124961227999593
665625,2024,"peguero, elvis",839,139.9,152.0,117.9,1.5860565663766586,2.3399558899786768,0.8321572427746404,0.00021392998638553758,0.0011188430300168271,0.00047012382423370535,0.0012236736003147744
607074,2024,"rodón, carlos",3102,139.9,123.0,147.7,0.9576978652050979,0.6099118176919636,1.3054839127182323,0.00013992923927259895,0.0001457039917623445,0.0008169961528465711,0.0008591049612493635
608331,2024,"fried, max",2766,139.0,98.7,171.1,0.9638655729389223,-0.06521377940922055,1.992944925287065,-1.1692716859355514e-05,6.933619126367065e-05,0.0009011586564768171,0.0015034187608226278
681911,2024,"vesia, alex",1124,138.4,151.1,116.2,1.3169705998798913,1.9820565747885999,0.6518846249711827,0.0004570046720160545,0.00027888196863694504,0.0006310831031124067,0.0005427423587068337
676534,2024,"faucher, calvin",1000,137.8,146.6,119.7,1.3708659463647135,1.9112651117433153,0.8304667809861117,0.0003266908265525183,0.0005536738655560314,0.0005957556993976132,0.0008700901908275455
664076,2024,"cleavinger, garrett",1057,136.2,145.2,118.3,1.2781388635558746,1.801424398131131,0.7548533289806182,0.0001988121985526754,0.0007963532438263544,0.0004108851669097765,0.0012904524139976108
667463,2024,"king, john",860,134.5,134.7,125.9,1.3512802545895803,1.528192327910162,1.1743681812689988,0.00021187631730672465,0.0005814841953459542,0.0007333620549022236,0.0009252609341012548
