season,pitcher_name,pitch_count,composure_plus,composure_score,walk_after_barrel,walk_after_hard_hit,walk_after_high_xba,first_ball_after_barrel,first_ball_after_hard_hit,first_ball_after_high_xba,walk_after_soft_hit,walk_after_low_xba,first_ball_after_soft_hit,first_ball_after_low_xba,hard_hit_after_walk,hard_hit_after_soft,walk_after_walk,ball_after_foul
2023,"martin, chris",736,151.1,1.7112948935431918,0.0,0.041666666666666664,0.0,0.0,0.125,0.05128205128205128,0.022727272727272728,0.020833333333333332,0.29545454545454547,0.2916666666666667,0.2,0.29545454545454547,0.0,0.3050847457627119
2023,"speier, gabe",797,139.4,1.317138261835438,0.1,0.05263157894736842,0.09090909090909091,0.1,0.17543859649122806,0.12121212121212122,0.0,0.0,0.2413793103448276,0.24,0.5,0.41379310344827586,0.0,0.40816326530612246
2023,"alexander, tyler",679,136.9,1.2349839087673866,0.0,0.0,0.03571428571428571,0.3333333333333333,0.3269230769230769,0.35714285714285715,0.10344827586206896,0.0,0.1724137931034483,0.28846153846153844,0.16666666666666666,0.3793103448275862,0.0,0.28169014084507044
2023,"ramirez, nick",659,133.2,1.1105924199691874,0.0,0.04,0.034482758620689655,0.2857142857142857,0.38,0.3103448275862069,0.03333333333333333,0.04918032786885246,0.3,0.2786885245901639,0.1111111111111111,0.3,0.0,0.3402061855670103
2023,"kirby, george",2826,131.2,1.0444149446441635,0.025,0.031141868512110725,0.026143790849673203,0.325,0.3217993079584775,0.3333333333333333,0.021739130434782608,0.026415094339622643,0.2898550724637681,0.2981132075471698,0.25,0.42028985507246375,0.041666666666666664,0.3183279742765273
2023,"nelson, kyle",883,129.7,0.9948408888056337,0.1,0.04838709677419355,0.0625,0.4,0.3064516129032258,0.34375,0.03333333333333333,0.0,0.3,0.3064516129032258,0.18181818181818182,0.3,0.0,0.41509433962264153
2023,"borucki, ryan",531,129.3,0.9793440910621682,0.0,0.05714285714285714,0.0,0.0,0.3142857142857143,0.30434782608695654,0.06060606060606061,0.0975609756097561,0.21212121212121213,0.3902439024390244,0.6,0.3333333333333333,0.0,0.21839080459770116
2023,"littell, zack",1336,127.9,0.935279256047611,0.041666666666666664,0.039735099337748346,0.05,0.3333333333333333,0.31788079470198677,0.3875,0.047619047619047616,0.008,0.3492063492063492,0.304,0.42857142857142855,0.42857142857142855,0.0,0.3235294117647059
2023,"rasmussen, drew",677,127.8,0.9296646999080848,0.0,0.05555555555555555,0.06896551724137931,0.5,0.24074074074074073,0.3793103448275862,0.034482758620689655,0.05454545454545454,0.2413793103448276,0.2545454545454545,0.45454545454545453,0.41379310344827586,0.0,0.39285714285714285
2023,"greinke, zack",2221,127.8,0.9307591481153539,0.0,0.0635593220338983,0.04580152671755725,0.17647058823529413,0.3432203389830508,0.2748091603053435,0.019417475728155338,0.03271028037383177,0.3300970873786408,0.32710280373831774,0.36,0.4077669902912621,0.04,0.4140625
2023,"stripling, ross",1456,126.6,0.8892028593576126,0.034482758620689655,0.03821656050955414,0.022988505747126436,0.2413793103448276,0.3503184713375796,0.3333333333333333,0.06666666666666667,0.05343511450381679,0.2833333333333333,0.3511450381679389,0.4444444444444444,0.4166666666666667,0.0,0.3817427385892116
2023,"sánchez, cristopher",1460,126.5,0.8883569929434586,0.045454545454545456,0.034013605442176874,0.038461538461538464,0.36363636363636365,0.3741496598639456,0.3076923076923077,0.056338028169014086,0.06818181818181818,0.29577464788732394,0.3181818181818182,0.21052631578947367,0.36619718309859156,0.0,0.35319148936170214
2023,"stephenson, robert",771,124.9,0.8332326518556438,0.0,0.07692307692307693,0.07692307692307693,0.2727272727272727,0.28205128205128205,0.3076923076923077,0.041666666666666664,0.05555555555555555,0.20833333333333334,0.3055555555555556,0.42857142857142855,0.125,0.07142857142857142,0.3211009174311927
